date,time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-07,14:24:33.50,-0.40,-0.96,-0.10,1.04,-2.26,0.06
2025-02-07,14:24:34.00,-0.40,-0.94,-0.05,-0.61,-10.44,-9.95
2025-02-07,14:24:34.50,-0.39,-0.89,-0.04,0.61,2.87,-2.14
2025-02-07,14:24:35.00,-0.35,-0.95,-0.09,-2.14,-0.73,-5.37
2025-02-07,14:24:35.50,-0.32,-0.95,-0.17,-13.85,-0.61,-2.69
2025-02-07,14:24:36.00,-0.33,-0.94,-0.19,3.66,1.10,2.20
2025-02-07,14:24:36.50,-0.32,-0.96,-0.13,5.31,2.99,-3.17
2025-02-07,14:24:37.00,-0.31,-0.95,-0.12,1.77,1.10,0.55
2025-02-07,14:24:37.50,-0.30,-0.95,-0.08,3.66,1.22,0.31
2025-02-07,14:24:38.00,-0.30,-0.98,-0.08,0.98,-1.46,0.12
2025-02-07,14:24:38.50,-0.32,-0.96,-0.06,1.40,-1.04,1.46
2025-02-07,14:24:39.00,-0.32,-0.96,-0.04,1.40,1.83,-1.04
2025-02-07,14:24:39.50,-0.33,-0.92,-0.04,-2.38,0.24,-9.46
2025-02-07,14:24:40.00,-0.30,-0.97,-0.02,-1.40,-2.14,-0.92
2025-02-07,14:24:40.50,-0.29,-1.01,-0.04,0.00,-0.61,-0.61
2025-02-07,14:24:41.00,-0.31,-0.99,0.00,3.85,0.31,0.18
2025-02-07,14:24:41.50,-0.34,-1.00,-0.05,-14.71,-19.96,3.72
2025-02-07,14:24:42.00,-0.29,-0.96,-0.20,-51.88,-6.10,-1.16
2025-02-07,14:24:42.50,-0.34,-0.93,-0.22,0.37,1.95,-2.26
2025-02-07,14:24:43.00,-0.33,-0.93,-0.22,2.56,-0.24,-1.89
2025-02-07,14:24:43.50,-0.33,-0.94,-0.22,2.44,-0.37,-0.61
2025-02-07,14:24:44.00,-0.32,-0.93,-0.20,-0.18,-0.73,-0.06
