,id,room_id/id,temp,out/in,date,time
0,__export__.temp_log_196134_bd201015,Room Admin,29,1,2018-12-08,09:30:00
1,__export__.temp_log_196131_7bca51bc,Room Admin,29,1,2018-12-08,09:30:00
2,__export__.temp_log_196127_522915e3,Room Admin,41,0,2018-12-08,09:29:00
3,__export__.temp_log_196128_be0919cf,Room Admin,41,0,2018-12-08,09:29:00
4,__export__.temp_log_196126_d30b72fb,Room Admin,31,1,2018-12-08,09:29:00
5,__export__.temp_log_196125_b0fa0b41,Room Admin,31,1,2018-12-08,09:29:00
6,__export__.temp_log_196121_01544d45,Room Admin,29,1,2018-12-08,09:28:00
7,__export__.temp_log_196122_f8b80a9f,Room Admin,29,1,2018-12-08,09:28:00
8,__export__.temp_log_196111_6b7a0848,Room Admin,29,1,2018-12-08,09:26:00
9,__export__.temp_log_196112_e134aebd,Room Admin,29,1,2018-12-08,09:26:00
10,__export__.temp_log_196108_4a983c7e,Room Admin,42,0,2018-12-08,09:25:00
11,__export__.temp_log_196108_4a983c7e,Room Admin,42,0,2018-12-08,09:25:00
12,__export__.temp_log_196101_d5ec7633,Room Admin,29,1,2018-12-08,09:24:00
13,__export__.temp_log_196099_3b8ef67b,Room Admin,29,1,2018-12-08,09:24:00
14,__export__.temp_log_196095_788b2c27,Room Admin,29,1,2018-12-08,09:22:00
15,__export__.temp_log_196096_eafb59b6,Room Admin,29,1,2018-12-08,09:22:00
16,__export__.temp_log_196094_38501388,Room Admin,41,0,2018-12-08,09:21:00
17,__export__.temp_log_196093_f0b3b649,Room Admin,41,0,2018-12-08,09:21:00
18,__export__.temp_log_196090_b5f7ca9c,Room Admin,29,1,2018-12-08,09:20:00
19,__export__.temp_log_196087_e04d9477,Room Admin,29,1,2018-12-08,09:20:00
20,__export__.temp_log_196085_1e3e9e86,Room Admin,42,0,2018-12-08,09:19:00
21,__export__.temp_log_196086_ab9ff962,Room Admin,42,0,2018-12-08,09:19:00
22,__export__.temp_log_196082_e025abaa,Room Admin,29,1,2018-12-08,09:18:00
23,__export__.temp_log_196081_db1796b5,Room Admin,29,1,2018-12-08,09:18:00
24,__export__.temp_log_196080_911f4eef,Room Admin,41,0,2018-12-08,09:17:00
25,__export__.temp_log_196079_7a0ef724,Room Admin,41,0,2018-12-08,09:17:00
26,__export__.temp_log_196077_d97a0ff1,Room Admin,29,1,2018-12-08,09:16:00
27,__export__.temp_log_196076_93e253c7,Room Admin,29,1,2018-12-08,09:16:00
28,__export__.temp_log_196073_6cce2ad3,Room Admin,29,1,2018-12-08,09:14:00
29,__export__.temp_log_196071_cfb015ff,Room Admin,29,1,2018-12-08,09:14:00
30,__export__.temp_log_196065_a29349e0,Room Admin,29,1,2018-12-08,09:12:00
31,__export__.temp_log_196063_5facf520,Room Admin,29,1,2018-12-08,09:12:00
32,__export__.temp_log_196056_de074bc3,Room Admin,42,0,2018-12-08,09:09:00
33,__export__.temp_log_196055_c4b4dac1,Room Admin,42,0,2018-12-08,09:09:00
34,__export__.temp_log_196052_a206be15,Room Admin,29,1,2018-12-08,09:08:00
35,__export__.temp_log_196050_3c252aff,Room Admin,29,1,2018-12-08,09:08:00
36,__export__.temp_log_196048_e4e30610,Room Admin,41,0,2018-12-08,09:07:00
37,__export__.temp_log_196047_da4d3971,Room Admin,41,0,2018-12-08,09:07:00
38,__export__.temp_log_196039_a167c302,Room Admin,29,1,2018-12-08,09:05:00
39,__export__.temp_log_196038_b58a003f,Room Admin,42,0,2018-12-08,09:04:00
40,__export__.temp_log_196037_fdf98314,Room Admin,30,1,2018-12-08,09:04:00
41,__export__.temp_log_196035_689daecd,Room Admin,29,1,2018-12-08,09:04:00
42,__export__.temp_log_196034_d592acf9,Room Admin,42,0,2018-12-08,09:03:00
43,__export__.temp_log_196033_cec7562b,Room Admin,30,1,2018-12-08,09:03:00
44,__export__.temp_log_196026_8ad54b4f,Room Admin,30,1,2018-12-08,09:01:00
45,__export__.temp_log_196022_1b205f24,Room Admin,29,1,2018-12-08,09:00:00
46,__export__.temp_log_196021_0ed345a9,Room Admin,29,1,2018-12-08,09:00:00
47,__export__.temp_log_196020_dbaffc92,Room Admin,29,1,2018-12-08,08:58:00
48,__export__.temp_log_196018_adf4ef79,Room Admin,29,1,2018-12-08,08:58:00
49,__export__.temp_log_196016_20a6e7e2,Room Admin,41,0,2018-12-08,08:57:00
50,__export__.temp_log_196014_8d2b9031,Room Admin,30,1,2018-12-08,08:55:00
51,__export__.temp_log_196015_db31e3bc,Room Admin,30,1,2018-12-08,08:55:00
52,__export__.temp_log_196010_238d7f2d,Room Admin,42,0,2018-12-08,08:53:00
53,__export__.temp_log_196011_5a5158ba,Room Admin,42,0,2018-12-08,08:53:00
54,__export__.temp_log_196003_7a23e92c,Room Admin,29,1,2018-12-08,08:52:00
55,__export__.temp_log_196000_3f2ed7ca,Room Admin,29,1,2018-12-08,08:52:00
56,__export__.temp_log_195999_728bba0f,Room Admin,31,1,2018-12-08,08:51:00
57,__export__.temp_log_195994_6650de18,Room Admin,29,1,2018-12-08,08:50:00
58,__export__.temp_log_195993_ca94691a,Room Admin,29,1,2018-12-08,08:50:00
59,__export__.temp_log_195983_fec1f952,Room Admin,29,1,2018-12-08,08:48:00
60,__export__.temp_log_195976_f524a948,Room Admin,29,1,2018-12-08,08:46:00
61,__export__.temp_log_195977_e1805396,Room Admin,29,1,2018-12-08,08:46:00
62,__export__.temp_log_195972_db46be7e,Room Admin,29,1,2018-12-08,08:42:00
63,__export__.temp_log_195969_8f5806db,Room Admin,29,1,2018-12-08,08:42:00
64,__export__.temp_log_195968_c5929341,Room Admin,41,0,2018-12-08,08:41:00
65,__export__.temp_log_195966_7067918d,Room Admin,30,1,2018-12-08,08:41:00
66,__export__.temp_log_195967_fd90463b,Room Admin,30,1,2018-12-08,08:41:00
67,__export__.temp_log_195965_d674087f,Room Admin,29,1,2018-12-08,08:40:00
68,__export__.temp_log_195964_78b18ce8,Room Admin,29,1,2018-12-08,08:40:00
69,__export__.temp_log_195960_83b2ac63,Room Admin,29,1,2018-12-08,08:38:00
70,__export__.temp_log_195958_d1f1c452,Room Admin,29,1,2018-12-08,08:38:00
