timestep,temp
4, 30
5, 29
6, 29
7, 29
8, 30
9, 30
10, 30
11, 30
12, 30
13, 30
14, 30
15, 30
16, 30
17, 30
18, 30
19, 30
20, 30
21, 30
22, 30
23, 30
24, 29
25, 30
26, 30
27, 30
28, 30
29, 30
30, 31
31, 31
32, 31
33, 31
34, 31
35, 31
36, 31
37, 31
38, 31
39, 31
40, 32
41, 32
42, 32
43, 32
44, 32
45, 32
46, 31
47, 31
48, 30
49, 30
50, 30
51, 30
52, 30
53, 30
54, 30
55, 30
56, 30
57, 30
58, 30
59, 30
60, 30
61, 30
62, 30
63, 30
64, 30
65, 30
66, 30
67, 30
68, 30
69, 30
70, 30
71, 30
72, 30
73, 31
74, 31
75, 31
76, 31
77, 32
78, 32
79, 32
80, 32
81, 31
82, 31
83, 32
84, 32
85, 33
86, 32
87, 32
88, 31
89, 31
90, 31
91, 32
92, 32
93, 33
94, 32
95, 32
96, 31
97, 31
98, 31
99, 31
100, 31
101, 31
102, 31
103, 32
104, 32
105, 32
106, 32
107, 31
108, 31
109, 31
110, 31
111, 31
112, 30
113, 30
114, 30
115, 30
116, 30
117, 30
118, 30
119, 30
120, 30
121, 30
122, 30
123, 30
124, 30
125, 30
126, 30
127, 30
128, 30
129, 30
130, 30
131, 30
132, 30
133, 30
134, 30
135, 30
136, 30
137, 30
138, 30
139, 30
140, 30
141, 30
142, 30
143, 30
144, 30
145, 30
146, 30
147, 30
148, 30
149, 30
150, 30
151, 30
152, 30
153, 30
154, 30
155, 30
156, 30
157, 30
158, 30
159, 30
160, 30
161, 30
162, 30
163, 30
164, 30
165, 30
166, 30
167, 30
168, 30
169, 30
170, 30
171, 30
172, 30
173, 30
174, 30
175, 30
176, 30
177, 30
178, 30
179, 30
180, 30
181, 30
182, 30
183, 30
184, 30
185, 30
186, 30
187, 30
188, 30
189, 30
190, 30
191, 30
192, 30
193, 30
194, 30
195, 30
196, 30
197, 30
198, 30
199, 30
200, 30
201, 30
202, 30
203, 30
204, 30
205, 30
206, 30
207, 30
208, 30
209, 30
210, 30
211, 30
212, 30
213, 30
214, 30
215, 30
216, 30
217, 30
218, 30
219, 30
220, 30
221, 30
222, 30
223, 30
224, 30
225, 30
226, 30
227, 30
228, 30
229, 30
230, 29
231, 30
232, 30
233, 30
234, 30
235, 30
236, 30
237, 30
238, 30
239, 30
240, 30
241, 29
242, 30
243, 30
244, 30
245, 30
246, 30
247, 30
248, 30
249, 30
250, 30
251, 30
252, 30
253, 30
254, 31
255, 31
256, 30
257, 31
258, 31
259, 31
260, 31
261, 31
262, 31
263, 31
264, 31
265, 31
266, 31
267, 32
268, 32
269, 32
270, 32
271, 32
272, 32
273, 32
274, 32
275, 32
276, 32
277, 32
278, 32
279, 32
280, 33
281, 33
282, 32
283, 33
284, 33
285, 33
286, 33
287, 33
288, 33
289, 33
290, 33
291, 33
292, 33
293, 33
294, 33
295, 34
296, 34
297, 34
298, 34
299, 34
300, 34
301, 34
302, 34
303, 34
304, 34
305, 34
306, 34
307, 35
308, 34
309, 35
310, 35
311, 35
312, 35
313, 35
314, 35
315, 35
316, 35
317, 35
318, 35
319, 35
320, 35
321, 35
322, 35
323, 35
324, 35
325, 35
326, 36
327, 36
328, 36
329, 36
330, 36
331, 36
332, 36
333, 36
334, 36
335, 36
336, 36
337, 36
338, 37
339, 36
340, 37
341, 37
342, 36
343, 36
344, 36
345, 36
346, 36
347, 36
348, 36
349, 36
350, 36
351, 36
352, 36
353, 36
354, 36
355, 35
356, 35
357, 35
358, 35
359, 35
360, 35
361, 35
362, 35
363, 35
364, 35
365, 35
366, 35
367, 35
368, 35
369, 35
370, 35
371, 35
372, 35
373, 35
374, 35
375, 35
376, 35
377, 35
378, 35
379, 35
380, 35
381, 35
382, 34
383, 34
384, 35
385, 34
386, 34
387, 34
388, 34
389, 34
390, 34
391, 34
392, 34
393, 34
394, 34
395, 34
396, 34
397, 34
398, 34
399, 34
400, 34
401, 34
402, 34
403, 34
404, 34
405, 34
406, 34
407, 34
408, 34
409, 34
410, 34
411, 34
412, 34
413, 34
414, 34
415, 34
416, 34
417, 34
418, 34
419, 34
420, 34
421, 34
422, 34
423, 33
424, 33
425, 33
426, 33
427, 33
428, 33
429, 33
430, 33
431, 33
432, 33
433, 33
434, 33
435, 33
436, 33
437, 33
438, 33
439, 33
440, 33
441, 33
442, 33
443, 33
444, 33
445, 33
446, 33
447, 33
448, 33
449, 33
450, 33
451, 33
452, 33
453, 32
454, 32
455, 33
456, 33
457, 33
458, 33
459, 32
460, 32
461, 33
462, 33
463, 34
464, 34
465, 33
466, 33
467, 33
468, 33
469, 33
470, 32
471, 32
472, 32
473, 32
474, 32
475, 32
476, 32
477, 32
478, 32
479, 32
480, 32
481, 32
482, 32
483, 32
484, 32
485, 32
486, 32
487, 32
488, 32
489, 32
490, 33
491, 33
492, 33
493, 32
494, 32
495, 32
496, 32
497, 32
498, 32
499, 32
500, 32
501, 32
502, 32
503, 32
504, 32
505, 32
506, 32
507, 32
508, 32
509, 32
510, 32
511, 32
512, 32
513, 32
514, 32
515, 32
516, 32
517, 32
518, 32
519, 32
520, 32
521, 32
522, 32
523, 32
524, 32
525, 32
526, 32
527, 32
528, 31
529, 32
530, 32
531, 32
532, 31
533, 31
534, 31
535, 31
536, 31
537, 31
538, 31
539, 31
540, 31
541, 31
542, 31
543, 31
544, 31
545, 31
546, 31
547, 31
548, 31
549, 31
550, 31
551, 31
552, 31
553, 31
554, 31
555, 31
556, 31
557, 31
558, 31
559, 31
560, 31
561, 31
562, 31
563, 31
564, 31
565, 31
566, 31
567, 31
568, 31
569, 31
570, 31
571, 31
572, 31
573, 31
574, 31
575, 31
576, 31
577, 31
578, 31
579, 31
580, 31
581, 31
582, 31
583, 31
584, 31
585, 31
586, 31
587, 31
588, 31
589, 31
590, 31
591, 31
592, 31
593, 31
594, 31
595, 31
596, 31
597, 31
598, 31
599, 31
600, 31
601, 31
602, 31
603, 31
604, 31
605, 31
606, 31
607, 31
608, 31
609, 31
610, 31
611, 31
612, 31
613, 31
614, 31
615, 31
616, 31
617, 31
618, 31
619, 32
620, 32
621, 31
622, 31
623, 32
624, 32
625, 32
626, 32
627, 32
628, 32
629, 32
630, 32
631, 32
632, 32
633, 32
634, 32
635, 32
636, 32
637, 32
638, 32
639, 32
640, 32
641, 33
642, 33
643, 33
644, 33
645, 33
646, 33
647, 33
648, 33
649, 33
650, 33
651, 33
652, 33
653, 33
654, 33
655, 33
656, 33
657, 33
658, 33
659, 33
660, 33
661, 33
662, 33
663, 33
664, 33
665, 33
666, 33
667, 33
668, 33
669, 33
670, 33
671, 33
672, 33
673, 33
674, 33
675, 33
676, 33
677, 33
678, 33
679, 33
680, 33
681, 33
682, 33
683, 33
684, 33
685, 33
686, 33
687, 32
688, 32
689, 32
690, 32
691, 32
692, 32
693, 33
694, 33
695, 32
696, 32
697, 33
698, 32
699, 32
700, 32
701, 32
702, 32
703, 33
704, 32
705, 32
706, 32
707, 32
708, 32
709, 32
710, 32
711, 32
712, 32
713, 32
714, 32
715, 32
716, 32
717, 32
718, 32
719, 32
720, 32
721, 32
722, 32
723, 32
724, 32
725, 32
726, 32
727, 32
728, 32
729, 32
730, 32
731, 32
732, 32
733, 32
734, 32
735, 32
736, 32
737, 32
738, 32
739, 32
740, 32
741, 32
742, 32
743, 32
744, 32
745, 32
746, 32
747, 32
748, 32
749, 32
750, 32
751, 32
752, 32
753, 32
754, 32
755, 32
756, 32
757, 32
758, 32
759, 32
760, 32
761, 31
762, 32
763, 32
764, 32
765, 31
766, 32
767, 32
768, 32
769, 32
770, 31
771, 32
772, 32
773, 31
774, 31
775, 31
776, 31
777, 31
778, 31
779, 31
780, 31
781, 31
782, 31
783, 31
784, 31
785, 31
786, 31
787, 31
788, 31
789, 31
790, 31
791, 31
792, 31
793, 31
794, 31
795, 31
796, 31
797, 31
798, 31
799, 31
800, 31
801, 31
802, 31
803, 31
804, 31
805, 31
806, 31
807, 31
808, 31
809, 31
810, 31
811, 31
812, 31
813, 31
814, 31
815, 31
816, 31
817, 31
818, 31
819, 31
820, 31
821, 31
822, 31
823, 31
824, 31
825, 31
826, 31
827, 31
828, 31
829, 31
830, 31
831, 31
832, 32
833, 32
834, 32
835, 32
836, 32
837, 32
838, 32
839, 32
840, 32
841, 32
842, 32
843, 32
844, 32
845, 32
846, 32
847, 32
848, 32
849, 33
850, 33
851, 33
852, 33
853, 33
854, 33
855, 32
856, 32
857, 32
858, 32
859, 32
860, 32
861, 31
862, 31
863, 32
864, 32
865, 32
866, 32
867, 32
868, 32
869, 32
870, 32
871, 32
872, 32
873, 32
874, 32
875, 32
876, 32
877, 31
878, 31
879, 31
880, 31
881, 31
882, 31
883, 31
884, 31
885, 31
886, 31
887, 31
888, 31
889, 32
890, 31
891, 31
892, 31
893, 31
894, 31
